total_pnl,n_fills,n_adverse,afr,abstentions,episode,agent
-24.69993108511844,10,0,0.0,1990,97,PPO
-22.739212644113287,10,0,0.0,1990,98,PPO
-35.52758231164044,10,0,0.0,1990,99,PPO
-25.663808619990593,10,0,0.0,1990,100,PPO
-19.459388136879717,10,0,0.0,1990,101,PPO
-27.562355196483256,10,0,0.0,1990,102,PPO
-44.917437672623784,10,0,0.0,1990,103,PPO
-41.777205002313714,10,0,0.0,1990,104,PPO
-14.775545728212457,10,0,0.0,1990,105,PPO
-20.510156250014553,10,0,0.0,1990,106,PPO
-20.629579722890046,10,0,0.0,1990,107,PPO
-36.84545495511848,10,0,0.0,1990,108,PPO
-29.76134824753681,10,0,0.0,1990,109,PPO
-30.03488457204512,10,0,0.0,1990,110,PPO
-34.62660712004581,10,0,0.0,1990,111,PPO
-27.653689003005272,10,0,0.0,1990,112,PPO
-23.9024277210352,10,0,0.0,1990,113,PPO
-34.181832599651536,10,0,0.0,1990,114,PPO
-17.67262742520834,10,0,0.0,1990,115,PPO
-29.08369132281368,10,0,0.0,1990,116,PPO
-37.94867289067188,10,0,0.0,1990,117,PPO
-42.962502038493405,10,0,0.0,1990,118,PPO
-25.02880464794143,10,0,0.0,1990,119,PPO
-31.240625000014553,10,0,0.0,1990,120,PPO
-41.70381482840603,10,0,0.0,1990,121,PPO
-43.72498916388722,10,0,0.0,1990,122,PPO
-25.352030777941398,10,0,0.0,1990,123,PPO
-17.867863273627883,10,0,0.0,1990,124,PPO
-43.103841614736304,10,0,0.0,1990,125,PPO
-32.96593991518748,10,0,0.0,1990,126,PPO
-27.00133322478505,10,0,0.0,1990,127,PPO
-31.512199008474997,10,0,0.0,1990,128,PPO
-26.86936392785137,10,0,0.0,1990,129,PPO
-34.344763624679764,10,0,0.0,1990,130,PPO
-18.909885966787986,10,0,0.0,1990,131,PPO
-34.40536208154081,10,0,0.0,1990,132,PPO
-28.67906948329037,10,0,0.0,1990,133,PPO
-36.86819678546599,10,0,0.0,1990,134,PPO
-46.80197596551589,10,0,0.0,1990,135,PPO
-26.153240847599225,10,0,0.0,1990,136,PPO
-30.865799450884516,10,0,0.0,1990,137,PPO
-27.82211792470625,10,0,0.0,1990,138,PPO
